film_id_x,titre,genre_principale,date_sortie_france,date_sortie_usa,image_url,synopsis_x,duree,note_moyenne,acteurs,entrees_demarrage_france,entrees_totales_france,budget_x,recette_usa,recette_reste_du_monde,recette_monde,film_url,film_image_url,release_date,duration,age_classification,producers,director,top_stars,press_rating,viewer_rating,languages,distributor,year_of_production,film_nationality,filming_secrets,fr_entry_week,us_entry_week,fr_entries,us_entries,awards,budget_y,associated_genres,press_critics_count,viewer_critics_count,synopsis_y,film_id_y,release_season,duration_minutes,producers_count,producer_1,producer_2,producer_3,producer_4,producer_5,top_stars_count,top_star_1,top_star_2,top_star_3,language_count,film_nationality_count,filming_secrets_num,fr_entry_week_period,fr_entry_week_iso_week,us_entry_week_period,us_entry_week_iso_week,fr_entries_num,us_entries_num,award_count,nomination_count,total_awards_nomination,associated_genres_count,press_critics_count_num,viewer_notes,viewer_critiques,synopsis_length
19576,Les Enfants du temps,Animation,08/01/2020,15/01/2020,https://www.jpbox-office.com/cinema/images/posters/19576-20200104011300-0.jpg,"Hodaka Morishima, élève de lycée, quitte son domicile sur une île isolée pour s'installer à Tokyo mais devient immédiatement fauché. Il vit ses jours dans l'isolement, mais trouve finalement un travail en tant qu'écrivain pour un magazine occulte louche. Après son entrée en fonction, le temps a été pluvieux jour après jour. Dans un coin de la ville surpeuplée et fréquenté, Hodaka rencontre une jeune fille nommée Hina Amano. En raison de certaines circonstances, Hina et son jeune frère vivent ensemble, mais mènent une vie joyeuse et stable. Hina a aussi un pouvoir: le pouvoir d'arrêter la pluie et de dégager le ciel.",1h 51min,3,Non disponible,95 545,228 006,? $,8 056 636 $,181 457 968 $,189 514 604 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=270440.html,https://fr.web.img2.acsta.net/c_310_420/pictures/19/12/03/12/19/1546306.jpg,2020-01-08,1h 54min,,Makoto Shinkai,Makoto Shinkai,"Gabriel Bismuth-Bienaimé,Kotaro Daigo,Maryne Bertieaux",3.8,4.2,Japonais,Bac Films,2019,,4 anecdotes,08 au 15 janvier 2020,,95 545,,,-,"Animation,Drame,Romance",29 critiques,"3300 notes, 220 critiques","Jeune lycéen, Hodaka fuit son île pour rejoindre Tokyo. Sans argent ni emploi, il tente de survivre dans la jungle urbaine et trouve un poste dans une revue dédiée au paranormal. Un phénomène météorologique extrême touche alors le Japon, exposé à de constantes pluies. Hodaka est dépêché pour enquêter sur l'existence de prêtresses du temps. Peu convaincu par cette légende, il change soudainement d'avis lorsqu'il croise la jeune Hina...",270440,Winter,114.0,1,Makoto Shinkai,,,,,3,Gabriel Bismuth-Bienaimé,Kotaro Daigo,Maryne Bertieaux,1,0,4,08/01/2020 – 15/01/2020,2,,0,95545,0,0,0,0,3,29,3300,220,438
19641,Scandale,Biopic,22/01/2020,20/12/2019,https://www.jpbox-office.com/cinema/images/posters/19641-20191207055520-0.jpg,"Retour sur la vie de Roger Ailes, consultant en images et président-fondateur de Fox News. Suite à des accusations d'harcèlement sexuel, Rupert Murdoch, l'actionnaire du groupe News Corporation, est contraint de le licencier.",1h 48min,3,Nicole Kidman (Rôle principal - - Gretchen Carlson) | Margot Robbie (Rôle principal - - Kayla Pospisil) | Charlize Theron (Rôle principal - - Megyn Kelly),205 082,393 328,35 000 000 $,31 762 808 $,19 392 813 $,51 155 621 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=268490.html,https://fr.web.img5.acsta.net/c_310_420/pictures/20/02/10/15/16/2293830.jpg,2020-01-22,1h 50min,,"Jay Roach,Charles Randolph",Jay Roach,"Charlize Theron,Nicole Kidman,Margot Robbie",3.5,3.5,Anglais,Metropolitan FilmExport,2019,"U.S.A.,Canada",12 anecdotes,22 au 29 janvier 2020,20 au 23 décembre 2019,205 082,5 109 146,2 prix et 10 nominations,-,"Biopic,Drame",33 critiques,"7387 notes, 291 critiques","Inspiré de faits réels, SCANDALE nous plonge dans les coulisses d’une chaîne de télévision aussi puissante que controversée. Des premières étincelles à l’explosion médiatique, découvrez comment des femmes journalistes ont réussi à briser la loi du silence pour dénoncer l’inacceptable.",268490,Winter,110.0,2,Jay Roach,Charles Randolph,,,,3,Charlize Theron,Nicole Kidman,Margot Robbie,1,2,12,22/01/2020 – 29/01/2020,4,20/12/2019 – 23/12/2019,51,205082,5109146,2,10,12,2,33,7387,291,285
21046,Space Jam - Nouvelle ère,Basket Ball,21/07/2021,16/07/2021,https://www.jpbox-office.com/cinema/images/posters/21046-20210710114918-0.jpg,"Bienvenue au Jam ! Champion de la NBA et icône planétaire, LeBron James s'engage dans une aventure rocambolesque aux côtés de Bugs Bunny dans SPACE JAM - NOUVELLE ÈRE. LeBron et son jeune fils Dom sont retenus prisonniers dans un espace numérique par une intelligence artificielle malveillante. Le joueur de basket doit ramener son petit garçon sain et sauf chez lui, en faisant triompher Bugs, Lola Bunny et leurs camarades Looney Tunes face aux champions numérisés de l'intelligence artificielle : une équipe de stars de la NBA et de la WNBA gonflés à bloc comme on ne les a jamais vus !",1h 56min,4,Don Cheadle (Second rôle - - Ali G Rythm),182 763,419 626,150 000 000 $,70 521 366 $,85 000 000 $,155 521 366 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=211938.html,https://fr.web.img5.acsta.net/c_310_420/pictures/21/07/09/16/47/1951178.jpg,2021-07-21,1h 56min,,"Malcolm D. Lee,Juel Taylor,Tony Rettenmaier",Malcolm D. Lee,"LeBron James,Don Cheadle,Sonequa Martin-Green",2.3,1.9,Anglais,Warner Bros. France,2021,,17 anecdotes,21 au 28 juillet 2021,16 au 19 juillet 2021,182 763,31 650 000,3 prix et 1 nomination,-,"Animation,Comédie,Famille",16 critiques,"4054 notes, 171 critiques","Bienvenue au Jam ! Champion de la NBA et icône planétaire, LeBron James s'engage dans une aventure rocambolesque aux côtés de Bugs Bunny dans SPACE JAM - NOUVELLE ÈRE. LeBron et son jeune fils Dom sont retenus prisonniers dans un espace numérique par une intelligence artificielle malveillante. Le joueur de basket doit ramener son petit garçon sain et sauf chez lui, en faisant triompher Bugs, Lola Bunny et leurs camarades Looney Tunes face aux champions numérisés de l'intelligence artificielle : une équipe de stars de la NBA et de la WNBA gonflés à bloc comme on ne les a jamais vus !",211938,Summer,116.0,3,Malcolm D. Lee,Juel Taylor,Tony Rettenmaier,,,3,LeBron James,Don Cheadle,Sonequa Martin-Green,1,0,17,21/07/2021 – 28/07/2021,29,16/07/2021 – 19/07/2021,28,182763,31650000,3,1,4,3,16,4054,171,589
19832,La Voie de la justice,Biopic,29/01/2020,10/01/2020,https://www.jpbox-office.com/cinema/images/posters/19832-20200125120241-0.jpg,"Le combat historique du jeune avocat Bryan Stevenson.  Après ses études à l’université de Harvard, Bryan Stevenson aurait pu se lancer dans une carrière des plus lucratives. Il décide pourtant de se rendre en Alabama pour défendre ceux qui ont été condamnés à tort, avec le soutien d’une militante locale, Eva Ansley. Un de ses premiers cas - le plus incendiaire - est celui de Walter McMillian qui, en 1987, est condamné à mort pour le meurtre retentissant d’une jeune fille de 18 ans. Et ce en dépit d’un grand nombre de preuves attestant de son innocence et d’un unique témoignage à son encontre provenant d’un criminel aux motivations douteuses. Au fil des années, Bryan se retrouve empêtré dans un imbroglio de manœuvres juridiques et politiques. Il doit aussi faire face à un racisme manifeste et intransigeant alors qu’il se bat pour Walter et d’autres comme lui au sein d’un système hostile.",2h 17min,4,Jamie Foxx (Rôle principal - - Walter McMillian) | Michael B. Jordan (Rôle principal - - Bryan Stevenson),113 153,315 693,25 000 000 $,36 001 502 $,10 704 565 $,46 706 067 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=239735.html,https://fr.web.img5.acsta.net/c_310_420/pictures/20/01/14/09/12/0418204.jpg,2020-01-29,2h 17min,,"Destin Daniel Cretton,Andrew Lanham",Destin Daniel Cretton,"Michael B. Jordan,Jamie Foxx,Brie Larson",3.0,4.1,Anglais,Warner Bros. France,2020,,9 anecdotes,29 janvier au 5 février 2020,10 au 13 janvier 2020,113 153,9 713 228,,-,"Biopic,Drame",18 critiques,"6489 notes, 289 critiques","Le combat historique du jeune avocat Bryan Stevenson.  Après ses études à l’université de Harvard, Bryan Stevenson aurait pu se lancer dans une carrière des plus lucratives. Il décide pourtant de se rendre en Alabama pour défendre ceux qui ont été condamnés à tort, avec le soutien d’une militante locale, Eva Ansley. Un de ses premiers cas - le plus incendiaire - est celui de Walter McMillian qui, en 1987, est condamné à mort pour le meurtre retentissant d’une jeune fille de 18 ans. Et ce en dépit d’un grand nombre de preuves attestant de son innocence et d’un unique témoignage à son encontre provenant d’un criminel aux motivations douteuses. Au fil des années, Bryan se retrouve empêtré dans un imbroglio de manœuvres juridiques et politiques. Il doit aussi faire face à un racisme manifeste et intransigeant alors qu’il se bat pour Walter et d’autres comme lui au sein d’un système hostile.",239735,Winter,137.0,2,Destin Daniel Cretton,Andrew Lanham,,,,3,Michael B. Jordan,Jamie Foxx,Brie Larson,1,0,9,29 janvier au 5 février 2020,0,10/01/2020 – 13/01/2020,2,113153,9713228,0,0,0,2,18,6489,289,899
19835,Le Cas Richard Jewell,Biopic,19/02/2020,13/12/2019,https://www.jpbox-office.com/cinema/images/posters/19835-20191207060327-0.jpg,"En 1996, Richard Jewell fait partie de l'équipe chargée de la sécurité des Jeux d'Atlanta. Il est l'un des premiers à alerter de la présence d'une bombe et à sauver des vies. Mais il se retrouve bientôt suspecté... de terrorisme, passant du statut de héros à celui d'homme le plus détesté des Etats-Unis. Il fut innocenté trois mois plus tard par le FBI mais sa réputation ne fut jamais complètement rétablie, sa santé étant endommagée par l'expérience.",2h 09min,4,Sam Rockwell (Rôle principal - -  L'avocat de Jewell),385 394,795 393,45 000 000 $,22 345 542 $,19 238 600 $,41 584 142 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=226927.html,https://fr.web.img4.acsta.net/c_310_420/pictures/20/01/09/14/26/2410363.jpg,2020-02-19,2h 09min,,"Clint Eastwood,Billy Ray",Clint Eastwood,"Paul Walter Hauser,Sam Rockwell,Kathy Bates",4.0,4.1,Anglais,Warner Bros. France,2020,,17 anecdotes,19 au 26 février 2020,13 au 16 décembre 2019,385 394,4 680 124,2 nominations,-,Drame,35 critiques,"13347 notes, 591 critiques","En 1996, Richard Jewell fait partie de l'équipe chargée de la sécurité des Jeux d'Atlanta. Il est l'un des premiers à alerter de la présence d'une bombe et à sauver des vies. Mais il se retrouve bientôt suspecté... de terrorisme, passant du statut de héros à celui d'homme le plus détesté des Etats-Unis. Il fut innocenté trois mois plus tard par le FBI mais sa réputation ne fut jamais complètement rétablie, sa santé étant endommagée par l'expérience.",226927,Winter,129.0,2,Clint Eastwood,Billy Ray,,,,3,Paul Walter Hauser,Sam Rockwell,Kathy Bates,1,0,17,19/02/2020 – 26/02/2020,8,13/12/2019 – 16/12/2019,50,385394,4680124,0,2,2,1,35,13347,591,453
19776,Dark Waters,Biopic,26/02/2020,06/12/2019,https://www.jpbox-office.com/cinema/images/posters/19776-20200222103223-0.jpg,"Robert Bilott est un avocat spécialisé dans la défense des industries chimiques. Interpellé par un paysan, voisin de sa grand-mère, il va découvrir que la campagne idyllique de son enfance est empoisonnée par une usine du puissant groupe chimique DuPont, premier employeur de la région. Afin de faire éclater la vérité sur la pollution mortelle due aux rejets toxiques de l’usine, il va risquer sa carrière, sa famille, et même sa propre vie...",2h 06min,4,Anne Hathaway (Rôle principal - - Sarah Bilott) | Tim Robbins (Rôle principal - - Tom Terp) | Mark Ruffalo (Rôle principal - - Robert Bilott) | Bill Pullman (Second rôle - - Harry Dietzler),158 301,301 730,? $,11 136 084 $,8 931 758 $,20 067 842 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=269509.html,https://fr.web.img4.acsta.net/c_310_420/pictures/20/01/23/14/05/1683095.jpg,2020-02-26,2h 08min,,"Todd Haynes,Matthew Carnahan,Mario Correa",Todd Haynes,"Mark Ruffalo,Anne Hathaway,Tim Robbins",4.0,4.1,Anglais,Le Pacte,2019,,6 anecdotes,26 février au 4 mars 2020,06 au 9 décembre 2019,158 301,3 996 275,,-,"Biopic,Drame",37 critiques,"8220 notes, 352 critiques","Robert Bilott est un avocat spécialisé dans la défense des industries chimiques. Interpellé par un paysan, voisin de sa grand-mère, il va découvrir que la campagne idyllique de son enfance est empoisonnée par une usine du puissant groupe chimique DuPont, premier employeur de la région. Afin de faire éclater la vérité sur la pollution mortelle due aux rejets toxiques de l’usine, il va risquer sa carrière, sa famille, et même sa propre vie...",269509,Winter,128.0,3,Todd Haynes,Matthew Carnahan,Mario Correa,,,3,Mark Ruffalo,Anne Hathaway,Tim Robbins,1,0,6,26 février au 4 mars 2020,0,06/12/2019 – 09/12/2019,49,158301,3996275,0,0,0,2,37,8220,352,444
19873,Radioactive,Biopic,11/03/2020,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/19873-20200215070222-0.jpg,"Paris, fin du 19ème siècle. Marie est une scientifique passionnée, qui a du mal à imposer ses idées et découvertes au sein d’une société dominée par les hommes. Avec Pierre Curie, un scientifique tout aussi chevronné, qui deviendra son époux, ils mènent leurs recherches sur la radioactivité et finissent par découvrir deux nouveaux éléments : le radium et le polonium. Cette découverte majeure leur vaut le prix Nobel et une renommée internationale. Mais après un tragique accident, Marie doit continuer ses recherches seules et faire face aux conséquences de ses découvertes sur le monde moderne…",1h 43min,3,Rosamund Pike (Rôle principal - - Marie Curie),36 738,101 463,? $,- $,2 656 759 $,2 656 759 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=254043.html,https://fr.web.img6.acsta.net/c_310_420/pictures/20/02/07/14/08/2787082.jpg,2020-03-11,1h 50min,,"Marjane Satrapi,Jack Thorne",Marjane Satrapi,"Rosamund Pike,Sam Riley,Aneurin Barnard",3.1,3.1,Anglais,Studio Canal,2019,,6 anecdotes,11 au 18 mars 2020,,36 738,,,-,"Biopic,Drame,Romance",37 critiques,"3850 notes, 152 critiques","Paris, fin du 19ème siècle. Marie est une scientifique passionnée, qui a du mal à imposer ses idées et découvertes au sein d’une société dominée par les hommes. Avec Pierre Curie, un scientifique tout aussi chevronné, qui deviendra son époux, ils mènent leurs recherches sur la radioactivité et finissent par découvrir deux nouveaux éléments : le radium et le polonium. Cette découverte majeure leur vaut le prix Nobel et une renommée internationale. Mais après un tragique accident, Marie doit continuer ses recherches seule et faire face aux conséquences de ses découvertes sur le monde moderne…",254043,Spring,110.0,2,Marjane Satrapi,Jack Thorne,,,,3,Rosamund Pike,Sam Riley,Aneurin Barnard,1,0,6,11/03/2020 – 18/03/2020,11,,0,36738,0,0,0,0,3,37,3850,152,597
20851,Mank,Biopic,04/12/2020,04/12/2020,https://www.jpbox-office.com/cinema/images/posters/20851-20201121034129.png,"Dans ce film qui jette un point de vue caustique sur le Hollywood des années 30, le scénariste Herman J. Mankiewicz, alcoolique invétéré au regard acerbe, tente de boucler à temps le script de Citizen Kane d’Orson Welles.",2h 11min,Non disponible,Gary Oldman (Rôle principal - - Herman J. Mankiewicz),,,Non disponible,,,,https://www.allocine.fr/film/fichefilm_gen_cfilm=275554.html,https://fr.web.img6.acsta.net/c_310_420/pictures/20/10/21/09/03/0563347.jpg,2020-12-04,2h 12min,,"David Fincher,Jack Fincher",David Fincher,"Gary Oldman,Amanda Seyfried,Lily Collins",4.4,3.4,Anglais,Netflix,2020,,8 anecdotes,,,,,3 prix et 19 nominations,-,"Biopic,Drame",26 critiques,"1465 notes, 128 critiques","Dans ce film qui jette un point de vue caustique sur le Hollywood des années 30, le scénariste Herman J. Mankiewicz, alcoolique invétéré au regard acerbe, tente de boucler à temps le script de Citizen Kane d’Orson Welles.",275554,Winter,132.0,2,David Fincher,Jack Fincher,,,,3,Gary Oldman,Amanda Seyfried,Lily Collins,1,0,8,,0,,0,0,0,3,19,22,2,26,1465,128,221
21266,À quel prix ?,Biopic,03/09/2021,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/21266-20210828114519.jpg,"Retour sur le parcours de l'avocat bénévole Kenneth Feinberg, expert dans la rémunération des victimes comme ceux des attentats du 11 septembre 2001, de la marée noire de Deepwater Horizon, de l’attentat du marathon de Boston ou encore la fusillade terroriste à Orlando.",1h 58min,Non disponible,Michael Keaton (Rôle principal - - Kenneth Feinberg),,,? $,- $,51 750 $,51 750 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=262761.html,https://fr.web.img3.acsta.net/c_310_420/pictures/21/08/26/12/06/0960390.jpg,2021-09-03,1h 58min,,"Sara Colangelo,Max Borenstein",Sara Colangelo,"Michael Keaton,Amy Ryan,Stanley Tucci",3.6,3.6,Anglais,,2021,,2 anecdotes,,,,,,-,"Biopic,Drame,Judiciaire","605 notes, 27 critiques","605 notes, 27 critiques","Retour sur le parcours de l'avocat bénévole Kenneth Feinberg, expert dans la rémunération des victimes comme ceux des attentats du 11 septembre 2001, de la marée noire de Deepwater Horizon, de l’attentat du marathon de Boston ou encore la fusillade terroriste à Orlando.",262761,Autumn,118.0,2,Sara Colangelo,Max Borenstein,,,,3,Michael Keaton,Amy Ryan,Stanley Tucci,1,0,2,,0,,0,0,0,0,0,0,3,605,605,27,270
21044,Eiffel,Biopic,13/10/2021,03/06/2022,https://www.jpbox-office.com/cinema/images/posters/21044-20210219102554-0.jpg,"Venant tout juste de terminer sa collaboration sur la Statue de la Liberté, Gustave Eiffel est au sommet de sa carrière. Le gouvernement français veut qu’il crée quelque chose de spectaculaire pour l’Exposition Universelle de 1889 à Paris, mais Eiffel ne s’intéresse qu’au projet de métropolitain. Tout bascule lorsqu'il recroise son amour de jeunesse. Leur relation interdite l’inspire à changer l’horizon de Paris pour toujours.",1h 48min,3,Romain Duris (Rôle principal - - Gustave Eiffel) | Alexandre Desplat,408 803,1 467 925,23 400 000 ,442 174 $,11 779 729 $,12 221 903 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=254015.html,https://fr.web.img6.acsta.net/c_310_420/pictures/21/05/27/10/05/2153213.jpg,2021-10-13,1h 49min,,"Martin Bourboulon,Caroline Bongrand",Martin Bourboulon,"Romain Duris,Emma Mackey,Pierre Deladonchamps",2.8,3.2,"Anglais, Français",Pathé Films,2020,,12 anecdotes,13 au 20 octobre 2021,,408 803,,4 nominations,-,"Biopic,Comédie,Drame",30 critiques,"8644 notes, 632 critiques","Venant tout juste de terminer sa collaboration sur la Statue de la Liberté, Gustave Eiffel est au sommet de sa carrière. Le gouvernement français veut qu’il crée quelque chose de spectaculaire pour l’Exposition Universelle de 1889 à Paris, mais Eiffel ne s’intéresse qu’au projet de métropolitain. Tout bascule lorsqu'il recroise son amour de jeunesse. Leur relation interdite l’inspire à changer l’horizon de Paris pour toujours.",254015,Autumn,109.0,2,Martin Bourboulon,Caroline Bongrand,,,,3,Romain Duris,Emma Mackey,Pierre Deladonchamps,2,0,12,13/10/2021 – 20/10/2021,41,,0,408803,0,0,4,4,3,30,8644,632,430
21461,Suprêmes,Biopic,24/11/2021,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/21461-20211106062624-0.jpg,"1989. Dans les cités déshéritées du 93, une bande de copains trouve un moyen d’expression grâce au mouvement hip-hop tout juste arrivé en France. Après la danse et le graff, JoeyStarr et Kool Shen se mettent à écrire des textes de rap imprégnés par la colère qui couve dans les banlieues. Leurs rythmes enfiévrés et leurs textes révoltés ne tardent pas à galvaniser les foules et … à se heurter aux autorités. Mais peu importe, le Suprême NTM est né et avec lui le rap français fait des débuts fracassants !",1h 52min,3,Non disponible,77 095,132 689,Non disponible,,,,https://www.allocine.fr/film/fichefilm_gen_cfilm=270890.html,https://fr.web.img6.acsta.net/c_310_420/pictures/21/09/22/10/13/3584560.jpg,2021-11-24,1h 52min,,"Audrey Estrougo,Marcia Romano",Audrey Estrougo,"Théo Christine,Sandor Funtek,Félix Lefebvre",3.4,3.4,Français,Sony Pictures Releasing France,2021,,15 anecdotes,24 novembre au 1 décembre 2021,,77 095,,2 nominations,-,"Biopic,Musical",32 critiques,"2983 notes, 165 critiques","1989. Dans les cités déshéritées du 93, une bande de copains trouve un moyen d’expression grâce au mouvement hip-hop tout juste arrivé en France. Après la danse et le graff, JoeyStarr et Kool Shen se mettent à écrire des textes de rap imprégnés par la colère qui couve dans les banlieues. Leurs rythmes enfiévrés et leurs textes révoltés ne tardent pas à galvaniser les foules et … à se heurter aux autorités. Mais peu importe, le Suprême NTM est né et avec lui le rap français fait des débuts fracassants !",270890,Autumn,112.0,2,Audrey Estrougo,Marcia Romano,,,,3,Théo Christine,Sandor Funtek,Félix Lefebvre,1,0,15,24 novembre au 1 décembre 2021,0,,0,77095,0,0,2,2,2,32,2983,165,507
21371,House of Gucci,Biopic,24/11/2021,24/11/2021,https://www.jpbox-office.com/cinema/images/posters/21371-20211023042202-0.jpg,"Gucci est une marque reconnue et admirée dans le monde entier. Elle a été créée par Guccio Gucci qui a ouvert sa première boutique d’articles de cuir de luxe à Florence il y a exactement un siècle.
À la fin des années 1970, l’empire italien de la mode est à un tournant critique de son histoire. Si l’entreprise rayonne désormais à l’international, elle est handicapée par des rumeurs de malversations financières, une innovation en berne et une dévalorisation de la marque. Le groupe est dirigé par les deux fils du fondateur – Aldo, personnage rusé et haut en couleur, et son frère Rodolfo, beaucoup plus froid et traditionnel.
Pugnace, Aldo n’a pas la moindre intention de céder le contrôle de l’empire à qui que ce soit – et certainement pas à son fils Paolo, garçon fantaisiste qui aspire à devenir styliste. Quant à Maurizio, fils timide et surprotégé de Rodolfo, il a davantage envie d’étudier le droit que de diriger un groupe de luxe mondialisé.
C’est alors que Maurizio tombe amoureux de la ravissante et manipulatrice Patrizia Reggiani et, contre l’avis de son père, décide de l’épouser. Lorsque Aldo se découvre des affinités avec Patrizia, il réussit, avec l’aide de la jeune femme, à convaincre son neveu de renoncer à ses ambitions juridiques pour intégrer l’entreprise dont il devient, de facto, le probable héritier. Ce qui ne manque pas de nourrir la rancoeur de Paolo, dont le talent n’est pas à la hauteur de ses rêves artistiques…",2h 37min,4,Adam Driver (Rôle principal - - Maurizio Gucci) | Camille Cottin (Second rôle - - Paola Franchi) | Salma Hayek (Second rôle) | Jeremy Irons (Second rôle - - Rodolfo Gucci) | Jared Leto (Second rôle - - Paolo Gucci) | Al Pacino (Second rôle - - Aldo Gucci) | Ridley Scott (Producteur),293 474,791 674,75 000 000 $,53 809 574 $,89 500 000 $,143 309 574 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=278661.html,https://fr.web.img6.acsta.net/c_310_420/pictures/21/10/20/17/43/5825683.jpg,2021-11-24,2h 37min,,"Ridley Scott,Roberto Bentivegna",Ridley Scott,"Lady Gaga,Adam Driver,Al Pacino",2.9,3.6,Anglais,Universal Pictures International France,2021,"U.S.A.,Canada",17 anecdotes,24 novembre au 1 décembre 2021,26 au 29 novembre 2021,293 474,14 231 000,1 prix et 6 nominations,-,"Biopic,Drame",28 critiques,"8510 notes, 432 critiques",Gucci est une marque reconnue et admirée dans le monde entier. Elle a été créée par Guccio Gucci qui a ouvert sa première boutique d’articles de cuir de luxe à Florence il y a exactement un siècle.,278661,Autumn,157.0,2,Ridley Scott,Roberto Bentivegna,,,,3,Lady Gaga,Adam Driver,Al Pacino,1,2,17,24 novembre au 1 décembre 2021,0,26/11/2021 – 29/11/2021,47,293474,14231000,1,6,7,2,28,8510,432,197
21311,La Méthode Williams,Biopic,01/12/2021,19/11/2021,https://www.jpbox-office.com/cinema/images/posters/21311-20211128062507-0.jpg,"Focus sur la personnalité de l'entraîneur de tennis Richard Williams, père des joueuses mondiales Vénus et Serena. Il n'avait aucune expérience dans le sport mais lorsque ses filles ont eu quatre ans, il a élaboré un plan de 78 pages décrivant l'entraînement des futures championnes. Les sœurs Williams sont devenues deux des plus grandes joueuses de l'histoire du tennis. Serena est sans conteste la meilleure tenniswoman de tous les temps, avec 23 victoires en tournois du Grand Chelem. Venus Williams a remporté sept titres en Grand Chelem.",2h 18min,4,Will Smith (Rôle principal - - Richard Williams),90 468,268 865,50 000 000 $,15 129 285 $,10 300 000 $,25 429 285 $,https://www.allocine.fr/film/fichefilm_gen_cfilm=272238.html,https://fr.web.img3.acsta.net/c_310_420/pictures/21/10/28/12/17/1157439.jpg,2021-12-01,2h 25min,,"Reinaldo Marcus Green,Zach Baylin",Reinaldo Marcus Green,"Will Smith,Aunjanue Ellis-Taylor,Saniyya Sidney",3.1,4.0,Anglais,Warner Bros. France,2021,,14 anecdotes,01 au 8 décembre 2021,19 au 22 novembre 2021,90 468,5 700 000,3 prix et 11 nominations,-,"Biopic,Drame",22 critiques,"6268 notes, 232 critiques","Focus sur la personnalité de l'entraîneur de tennis Richard Williams, père des joueuses mondiales Vénus et Serena. Il n'avait aucune expérience dans le sport mais lorsque ses filles ont eu quatre ans, il a élaboré un plan de 78 pages décrivant l'entraînement des futures championnes. Les sœurs Williams sont devenues deux des plus grandes joueuses de l'histoire du tennis. Serena est sans conteste la meilleure tenniswoman de tous les temps, avec 23 victoires en tournois du Grand Chelem. Venus Williams a remporté sept titres en Grand Chelem.",272238,Winter,145.0,2,Reinaldo Marcus Green,Zach Baylin,,,,3,Will Smith,Aunjanue Ellis-Taylor,Saniyya Sidney,1,0,14,01/12/2021 – 08/12/2021,48,19/11/2021 – 22/11/2021,46,90468,5700000,3,11,14,2,22,6268,232,543
22293,Blonde,Biopic,28/09/2022,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/22293-20220911043600.jpg,"Adapté du best-seller de Joyce Carol Oates, BLONDE est une relecture audacieuse de la trajectoire de Marilyn Monroe, l’une des icônes hollywoodiennes les plus atemporelles. De son enfance tumultueuse à son ascension fulgurante et à ses histoires d’amour complexes – de Norma Jeane à Marilyn –, BLONDE brouille la frontière entre réalité et fiction pour explorer l’écart de plus en plus important entre sa personnalité publique et la personne qu’elle était dans l’intimité.",2h 46min,2,Adrien Brody (Rôle principal - - Arthur Miller),,,Non disponible,,,,https://www.allocine.fr/film/fichefilm_gen_cfilm=181923.html,https://fr.web.img6.acsta.net/c_310_420/pictures/22/08/01/15/30/0251976.jpg,2022-09-28,2h 46min,,Andrew Dominik,Andrew Dominik,"Ana de Armas,Julianne Nicholson,Bobby Cannavale",3.3,2.9,Anglais,,2022,,3 anecdotes,,,,,2 prix et 11 nominations,-,"Biopic,Drame",18 critiques,"2012 notes, 261 critiques","Adapté du best-seller de Joyce Carol Oates, BLONDE est une relecture audacieuse de la trajectoire de Marilyn Monroe, l’une des icônes hollywoodiennes les plus atemporelles. De son enfance tumultueuse à son ascension fulgurante et à ses histoires d’amour complexes – de Norma Jeane à Marilyn –, BLONDE brouille la frontière entre réalité et fiction pour explorer l’écart de plus en plus important entre sa personnalité publique et la personne qu’elle était dans l’intimité.",181923,Autumn,166.0,1,Andrew Dominik,,,,,3,Ana de Armas,Julianne Nicholson,Bobby Cannavale,1,0,3,,0,,0,0,0,2,11,13,2,18,2012,261,472
